Epoch 0, Loss: 2.3002
Epoch 1, Loss: 2.0391
Epoch 2, Loss: 1.1643
Epoch 3, Loss: 0.9051
Epoch 4, Loss: 0.8116
Epoch 5, Loss: 0.7714
Epoch 6, Loss: 0.7226
Epoch 7, Loss: 0.6443
Epoch 8, Loss: 0.5907
Epoch 9, Loss: 0.5755
Epoch 10, Loss: 0.5573
Epoch 11, Loss: 0.5495
Epoch 12, Loss: 0.5255
Epoch 13, Loss: 0.5185
Epoch 14, Loss: 0.4896
Epoch 15, Loss: 0.4811
Epoch 16, Loss: 0.4775
Epoch 17, Loss: 0.4624
Epoch 18, Loss: 0.4525
Epoch 19, Loss: 0.4351
Epoch 20, Loss: 0.4274
Epoch 21, Loss: 0.4445
Epoch 22, Loss: 0.4350
Epoch 23, Loss: 0.4144
Epoch 24, Loss: 0.4244
Epoch 25, Loss: 0.3946
Epoch 26, Loss: 0.3981
Epoch 27, Loss: 0.3772
Epoch 28, Loss: 0.3920
Epoch 29, Loss: 0.3846
Epoch 30, Loss: 0.4330
Epoch 31, Loss: 0.3682
Epoch 32, Loss: 0.3620
Epoch 33, Loss: 0.3587
Epoch 34, Loss: 0.3481
Epoch 35, Loss: 0.3487
Epoch 36, Loss: 0.3715
Epoch 37, Loss: 0.3355
Epoch 38, Loss: 0.3353
Epoch 39, Loss: 0.3650
Epoch 40, Loss: 0.3439
Epoch 41, Loss: 0.3298
Epoch 42, Loss: 0.3268
Epoch 43, Loss: 0.3258
Epoch 44, Loss: 0.3126
Epoch 45, Loss: 0.3077
Epoch 46, Loss: 0.3117
Epoch 47, Loss: 0.3007
Epoch 48, Loss: 0.2992
Epoch 49, Loss: 0.2966
Test Accuracy: 0.8692
