
Training with optimizer: sgd
Epoch 0, Loss: 2.3025
Epoch 1, Loss: 2.3023
Epoch 2, Loss: 2.3021
Epoch 3, Loss: 2.3020
Epoch 4, Loss: 2.3017
Epoch 5, Loss: 2.3015
Epoch 6, Loss: 2.3011
Epoch 7, Loss: 2.3006
Epoch 8, Loss: 2.2999
Epoch 9, Loss: 2.2989
Epoch 10, Loss: 2.2973
Epoch 11, Loss: 2.2946
Epoch 12, Loss: 2.2897
Epoch 13, Loss: 2.2794
Epoch 14, Loss: 2.2563
Epoch 15, Loss: 2.2069
Epoch 16, Loss: 2.1337
Epoch 17, Loss: 2.0503
Epoch 18, Loss: 1.9270
Epoch 19, Loss: 1.7541
Epoch 20, Loss: 1.6087
Epoch 21, Loss: 1.4845
Epoch 22, Loss: 1.3833
Epoch 23, Loss: 1.3083
Epoch 24, Loss: 1.2518
Epoch 25, Loss: 1.2068
Epoch 26, Loss: 1.1697
Epoch 27, Loss: 1.1370
Epoch 28, Loss: 1.1084
Epoch 29, Loss: 1.0806
Epoch 30, Loss: 1.0533
Epoch 31, Loss: 1.0292
Epoch 32, Loss: 0.9996
Epoch 33, Loss: 0.9716
Epoch 34, Loss: 0.9445
Epoch 35, Loss: 0.9211
Epoch 36, Loss: 0.9003
Epoch 37, Loss: 0.8853
Epoch 38, Loss: 0.8692
Epoch 39, Loss: 0.8580
Epoch 40, Loss: 0.8503
Epoch 41, Loss: 0.8401
Epoch 42, Loss: 0.8306
Epoch 43, Loss: 0.8248
Epoch 44, Loss: 0.8216
Epoch 45, Loss: 0.8093
Epoch 46, Loss: 0.8018
Epoch 47, Loss: 0.7960
Epoch 48, Loss: 0.7901
Epoch 49, Loss: 0.7848
