
Training with optimizer: momentum
Epoch 0, Loss: 2.2964
Epoch 1, Loss: 1.8756
Epoch 2, Loss: 1.0283
Epoch 3, Loss: 0.8890
Epoch 4, Loss: 0.8299
Epoch 5, Loss: 0.7921
Epoch 6, Loss: 0.7311
Epoch 7, Loss: 0.6782
Epoch 8, Loss: 0.6136
Epoch 9, Loss: 0.5856
Epoch 10, Loss: 0.5570
Epoch 11, Loss: 0.5418
Epoch 12, Loss: 0.5189
Epoch 13, Loss: 0.5050
Epoch 14, Loss: 0.4930
Epoch 15, Loss: 0.4798
Epoch 16, Loss: 0.4736
Epoch 17, Loss: 0.4593
Epoch 18, Loss: 0.4594
Epoch 19, Loss: 0.4408
Epoch 20, Loss: 0.4339
Epoch 21, Loss: 0.4246
Epoch 22, Loss: 0.4134
Epoch 23, Loss: 0.4055
Epoch 24, Loss: 0.4036
Epoch 25, Loss: 0.3943
Epoch 26, Loss: 0.3902
Epoch 27, Loss: 0.3815
Epoch 28, Loss: 0.3782
Epoch 29, Loss: 0.3714
Epoch 30, Loss: 0.3684
Epoch 31, Loss: 0.3625
Epoch 32, Loss: 0.3644
Epoch 33, Loss: 0.3546
Epoch 34, Loss: 0.3583
Epoch 35, Loss: 0.3525
Epoch 36, Loss: 0.3413
Epoch 37, Loss: 0.3386
Epoch 38, Loss: 0.3313
Epoch 39, Loss: 0.3321
Epoch 40, Loss: 0.3259
Epoch 41, Loss: 0.3197
Epoch 42, Loss: 0.3236
Epoch 43, Loss: 0.3255
Epoch 44, Loss: 0.3133
Epoch 45, Loss: 0.3144
Epoch 46, Loss: 0.3067
Epoch 47, Loss: 0.3040
Epoch 48, Loss: 0.2991
Epoch 49, Loss: 0.3073
